p2,p1,p,r,s
p,p,0.47375690607734805,0.2562154696132597,0.27002762430939226
p,r,0.26364477335800185,0.4024051803885291,0.333950046253469
p,s,0.26995179432244243,0.3331547937868238,0.3968934118907338
r,p,0.3969849246231156,0.3051621745089082,0.2978529008679762
r,r,0.27654676258992805,0.5056115107913669,0.21784172661870504
r,s,0.36735725113693785,0.2905507832238504,0.34209196563921174
s,p,0.35756918068366794,0.4053174172544764,0.23711340206185566
s,r,0.32395781014565544,0.42591662481165243,0.2501255650426921
s,s,0.20006548788474132,0.26162409954158483,0.5383104125736738
